source_id,citation_key,title,source_type,primary_url,doi,status,topic,exact_support_location,claim_supported,notes
S01,dasigi2021qasper,"A Dataset of Information-Seeking Questions and Answers Anchored in Research Papers",conference,https://aclanthology.org/2021.naacl-main.365/,10.18653/v1/2021.naacl-main.365,verified,scientific_qa,"Abstract; dataset description","QASPER contains 5,049 information-seeking questions over 1,585 NLP papers and supplies supporting-evidence annotations.",ACL Anthology metadata and BibTeX verified
S02,lewis2020rag,"Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks",conference,https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html,,verified,rag,"Abstract; Sections 2--3","RAG combines parametric generation with retrieved non-parametric memory.",NeurIPS primary record verified
S03,robertson2009bm25,"The Probabilistic Relevance Framework: BM25 and Beyond",journal,https://doi.org/10.1561/1500000019,10.1561/1500000019,verified,retrieval,"Abstract; Sections 3.3--3.4","BM25 is a probabilistic lexical ranking function and a strong transparent sparse-retrieval baseline.",Publisher DOI and DBLP record verified
S04,liu2024lost,"Lost in the Middle: How Language Models Use Long Contexts",journal,https://doi.org/10.1162/tacl_a_00638,10.1162/tacl_a_00638,verified,long_context,"Abstract; Section 4; Figures 5--7","In controlled multi-document QA and key--value tasks performance depends on the position of relevant information and can fall when it is placed in the middle.",TACL primary PDF verified
S05,jiang2023flare,"Active Retrieval Augmented Generation",conference,https://aclanthology.org/2023.emnlp-main.495/,10.18653/v1/2023.emnlp-main.495,verified,adaptive_retrieval,"Abstract; Section 3","FLARE retrieves iteratively during long-form generation when predicted upcoming content contains low-confidence tokens.",ACL Anthology metadata and DOI verified
S06,trivedi2023ircot,"Interleaving Retrieval with Chain-of-Thought Reasoning for Knowledge-Intensive Multi-Step Questions",conference,https://aclanthology.org/2023.acl-long.557/,10.18653/v1/2023.acl-long.557,verified,adaptive_retrieval,"Abstract; Sections 1 and 3","IRCoT alternates retrieval with chain-of-thought steps so that derived information informs later searches.",ACL Anthology metadata and DOI verified
S07,asai2024selfrag,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",conference,https://openreview.net/forum?id=hSyW5go0v8,,verified,adaptive_retrieval,"Abstract; Sections 2--3","Self-RAG learns reflection tokens governing retrieval, relevance, support and generation quality.",ICLR/OpenReview primary record verified; no DOI listed
S08,jeong2024adaptiverag,"Adaptive-RAG: Learning to Adapt Retrieval-Augmented Large Language Models through Question Complexity",conference,https://aclanthology.org/2024.naacl-long.389/,10.18653/v1/2024.naacl-long.389,verified,adaptive_retrieval,"Abstract; Section 3","Adaptive-RAG uses a smaller classifier to route queries among no-retrieval, single-step and iterative strategies according to complexity.",ACL Anthology metadata and DOI verified
S09,chen2024frugalgpt,"FrugalGPT: How to Use Large Language Models While Reducing Cost and Improving Performance",journal,https://openreview.net/forum?id=cSimKw5p6R,,verified,cost_aware,"Abstract; Sections 3--4","FrugalGPT frames model cascades as a quality--cost allocation problem.",TMLR/OpenReview primary record; no DOI listed
S10,graves2016act,"Adaptive Computation Time for Recurrent Neural Networks",preprint,https://arxiv.org/abs/1603.08983,,verified,adaptive_computation,"Abstract; Section 2","Adaptive Computation Time allocates a variable number of recurrent computation steps to an input.",Preprint only; used as conceptual ancestry rather than empirical comparator
S11,karpukhin2020dpr,"Dense Passage Retrieval for Open-Domain Question Answering",conference,https://aclanthology.org/2020.emnlp-main.550/,10.18653/v1/2020.emnlp-main.550,verified,retrieval,"Abstract; Section 1","Dense dual encoders offer a learned semantic alternative to sparse lexical retrieval.",ACL Anthology metadata and DOI verified
