claim_id,planned_claim,chapter,evidence_kind,evidence_location,status,allowed_wording,prohibited_wording
C01,"ControllerV3 allocates a variable evidence budget across questions",3;5,experiment,"outputs/supplementary/test416_controller_behavior_summary.json; outputs/supplementary/test416_controller_behavior_paired_budget.csv",verified,"The rule policy produces question-dependent evidence budgets.","The controller estimates evidence sufficiency."
C02,"ControllerV3 and BM25 top-7 have close test retrieval point estimates at similar estimated cost",5,experiment,"outputs/test416/test416_method_comparison_threshold05.csv",verified,"Point estimates are close at similar mean cost.","ControllerV3 significantly outperforms top-7."
C03,"Paired bootstrap intervals show no clear ControllerV3--top-7 retrieval difference",5,experiment,"outputs/test416/test416_bootstrap_paired_differences.csv",verified,"The interval does not show a clear sampled difference.","The two methods are statistically equivalent."
C04,"Section expansion improves the full controller relative to the no-section ablation but uses more evidence",5,experiment,"outputs/test416/test416_bootstrap_paired_differences.csv",verified,"The full variant improves coverage over its lower-budget ablation at an additional cost.","Section targeting is free or unconditionally more efficient."
C05,"Matched-budget controls do not show a clear independent aggregate benefit from section targeting",5;6,experiment,"outputs/supplementary/test416_supplementary_bootstrap_paired_differences.csv",verified,"The apparent ablation gain is largely attributable to the larger evidence budget.","Section targeting is proven useless."
C06,"Frozen generation results show nearly identical ControllerV3 and top-7 F1 point estimates",5,experiment,"outputs/supplementary/generation/test_generation_answer_bootstrap_paired.csv",verified,"No clear sampled F1 difference is observed.","The methods are equivalent or ControllerV3 is superior."
C07,"Prompt construction changes the cost actually observed by the generator",3;5;6,experiment,"outputs/supplementary/generation/test_generation_prompt_audit.json; outputs/supplementary/generation/test_generation_integrity_audit.json",verified,"Retrieved-unit cost and actual prompt-token cost are distinct quantities.","Estimated retrieval tokens equal model tokenizer tokens."
C08,"QASPER supports evaluation of both answers and annotated evidence",2,literature,"Source ledger S01",to_verify,"Use only after exact source verification.","Do not rely on memory or the interim bibliography alone."
C09,"Longer contexts may be used unevenly depending on evidence position",2,literature,"Source ledger S04",to_verify,"State the experimental scope of the cited study.","More context always hurts."
C10,"The final method differs materially from the interim dynamic-stopping proposal",1;3;6,code_and_project_history,"src/run_controller_v3.py; ZHONGQI.pdf",verified,"The final scope was narrowed to a deterministic rule policy whose Stop action follows configured branches.","A hidden sufficiency model or iterative search loop was implemented."
